teamName,year,3_star_recruits,4_star_recruits,5_star_recruits
Saint Joseph's,2017,1,0,0
Murray State,2017,1,0,0
Toledo,2017,1,0,0
Houston,2017,1,0,0
Texas Tech,2017,1,0,0
UNC Wilmington,2017,1,0,0
Ball State,2017,1,0,0
Northern Iowa,2017,1,0,0
Fordham,2017,1,0,0
Rider,2017,1,0,0
UTEP,2017,1,0,0
Wisconsin-Green Bay,2017,1,0,0
Weber State,2017,1,0,0
Northern Kentucky,2017,1,0,0
Vermont,2017,1,0,0
Southeast Missouri State,2017,1,0,0
St. Bonaventure,2017,1,0,0
Southern Miss,2017,0,0,0
Mount St. Mary's,2017,0,0,0
Duke,2018,1,2,4
Kentucky,2018,0,2,6
Arizona,2018,0,3,2
Missouri,2018,1,2,2
UCLA,2018,2,2,2
Texas,2018,0,4,1
Louisville,2018,0,4,1
Alabama,2018,2,2,1
Kansas,2018,0,2,1
Miami,2018,1,2,1
Xavier,2018,3,2,0
Florida State,2018,3,2,0
Oregon,2018,1,2,1
Stanford,2018,2,2,0
Western Kentucky,2018,2,1,1
UNLV,2018,1,2,1
LSU,2018,2,3,0
Virginia Tech,2018,1,2,0
North Carolina,2018,3,2,0
Florida,2018,1,3,0
Providence,2018,1,2,0
Auburn,2018,1,2,0
Arizona State,2018,1,2,0
Ohio State,2018,1,2,0
Creighton,2018,0,3,0
Colorado,2018,2,2,0
Washington,2018,1,2,0
Villanova,2018,1,2,0
Texas A&M,2018,4,1,0
Illinois,2018,2,2,0
USC,2018,1,2,0
Indiana,2018,2,2,0
Oklahoma,2018,1,1,1
Purdue,2018,4,1,0
Wisconsin,2018,1,2,0
Arkansas,2018,3,1,0
TCU,2018,4,2,0
Syracuse,2018,3,1,0
Texas Tech,2018,6,1,0
Wake Forest,2018,2,1,0
Georgia,2018,3,1,0
Oregon State,2018,2,1,0
Michigan,2018,1,2,0
Georgetown,2018,3,1,0
Seton Hall,2018,3,1,0
Clemson,2018,3,1,0
Utah,2018,4,1,0
St. John's,2018,2,1,0
Michigan State,2018,0,1,1
Memphis,2018,8,0,0
Pittsburgh,2018,7,0,0
Vanderbilt,2018,2,1,0
Maryland,2018,0,2,0
Tennessee,2018,3,1,0
California,2018,8,0,0
Iowa State,2018,0,2,0
Iowa,2018,2,1,0
Cincinnati,2018,4,1,0
Marquette,2018,4,0,0
Saint Louis,2018,1,1,0
SMU,2018,4,0,0
Butler,2018,4,0,0
Rutgers,2018,4,0,0
South Carolina,2018,5,0,0
Mississippi State,2018,1,1,0
West Virginia,2018,4,0,0
Houston,2018,5,0,0
Temple,2018,4,0,0
UTEP,2018,4,0,0
Ole Miss,2018,1,1,0
Minnesota,2018,1,1,0
Tulsa,2018,3,0,0
Boston College,2018,4,0,0
VCU,2018,4,0,0
Nebraska,2018,1,1,0
Middle Tennessee State,2018,3,0,0
Stephen F. Austin,2018,3,0,0
Georgia Tech,2018,3,0,0
NC State,2018,1,1,0
UCF,2018,3,0,0
Baylor,2018,1,1,0
DePaul,2018,3,0,0
San Diego State,2018,3,0,0
Connecticut,2018,2,0,0
South Alabama,2018,3,0,0
Oklahoma State,2018,1,1,0
Utah State,2018,2,0,0
Georgia State,2018,3,0,0
Buffalo,2018,1,1,0
UNC Wilmington,2018,2,0,0
Dayton,2018,2,0,0
Kansas State,2018,3,0,0
North Texas,2018,2,0,0
Murray State,2018,2,0,0
Lehigh,2018,2,0,0
Morehead State,2018,2,0,0
USF,2018,2,0,0
Virginia,2018,2,0,0
Tulane,2018,2,0,0
Illinois State,2018,2,0,0
Nevada,2018,2,0,0
Florida Gulf Coast,2018,2,0,0
Loyola (Chi),2018,2,0,0
Ball State,2018,2,0,0
South Dakota State,2018,2,0,0
Notre Dame,2018,0,1,0
UAB,2018,2,0,0
Belmont,2018,2,0,0
Missouri State,2018,1,0,0
Old Dominion,2018,2,0,0
La Salle,2018,2,0,0
UT Martin,2018,2,0,0
Wyoming,2018,2,0,0
Richmond,2018,2,0,0
Penn State,2018,1,0,0
Davidson,2018,0,1,0
Pepperdine,2018,2,0,0
Princeton,2018,2,0,0
Gonzaga,2018,0,1,0
Nebraska Omaha,2018,2,0,0
George Mason,2018,1,0,0
Northeastern,2018,1,0,0
Wichita State,2018,1,0,0
UTSA,2018,1,0,0
Harvard,2018,1,0,0
Washington State,2018,1,0,0
Indiana State,2018,1,0,0
Jacksonville State,2018,1,0,0
New Mexico State,2018,1,0,0
Arkansas-Little Rock,2018,1,0,0
St. Bonaventure,2018,1,0,0
Boise State,2018,1,0,0
Rhode Island,2018,1,0,0
Tennessee State,2018,1,0,0
Colorado State,2018,1,0,0
Boston University,2018,1,0,0
Arkansas State,2018,1,0,0
Southern Utah,2018,1,0,0
