,teamName,year,returningMins%,wins,totalGames,OE,DE,sos,adjTempo
3873,Boston College,2021,49.3795034661,13.0,32,99.735753154557,99.169095624636,26.821334375,69.343321563135
3874,Boston College,2022,34.1336533583,4.0,20,103.5503750291,102.95441607179,32.010275,71.369809033284
3876,Iowa,2011,65.6000003468,10.0,32,101.08720656997,101.81945077381,32.17696875,62.854901647496
3877,Iowa,2012,83.82,11.0,31,104.10982315774,95.013114625148,34.434135483871,67.954234746777
3878,Iowa,2013,65.58,18.0,35,111.24722299814,101.31974707455,30.766048571429,68.843098942424
3879,Iowa,2014,87.4,24.0,37,109.10464101036,90.476878251988,31.121151351351,67.653482163571
3880,Iowa,2015,67.44,20.0,33,121.21175623774,99.237907439657,31.917251515152,70.866392422154
3881,Iowa,2016,63.28,22.0,34,113.78711455031,91.896140107117,33.241747058824,64.586001690369
3882,Iowa,2017,40.36,22.0,33,114.26101457302,95.738790154541,31.079315151515,69.809069868645
3883,Iowa,2018,79.44,19.0,34,112.66126539767,100.93294637953,28.659570588235,72.732415026702
3884,Iowa,2019,82.54,14.0,33,116.06146430736,106.82396018821,30.869787878788,71.385415719895
3885,Iowa,2020,70.0919625747,23.0,35,116.82363526966,101.84016955106,33.335345714286,69.386505976782
3886,Iowa,2021,74.5200000235,20.0,31,117.19136694412,99.688269654063,34.793551612903,70.083944266722
3887,Iowa,2022,53.2387039811,22.0,31,123.44393099133,97.197457284558,36.590041935484,69.823652565412
3888,Nebraska Omaha,2012,0.0,7.0,10,114.49672242434,99.057632543869,20.85528,71.435522829681
3889,Nebraska Omaha,2013,55.0,1.0,16,94.926837129357,115.54190729627,16.3603125,71.723700376689
3890,Nebraska Omaha,2014,80.2,10.0,29,98.405079398882,116.88936759378,14.531365517241,72.35157315177
3891,Nebraska Omaha,2015,48.22,14.0,29,103.7077714471,104.44487903497,14.778427586207,74.090167152549
3892,Nebraska Omaha,2016,55.6,11.0,28,100.3121407307,107.87605698402,9.9346071428571,74.16031937217
3893,Nebraska Omaha,2017,53.74,16.0,30,108.1282393584,107.79066344861,12.55459,77.122203137041
3894,Nebraska Omaha,2018,49.0,17.0,31,106.77385802313,107.8855851718,15.551735483871,75.05244417304
3895,Nebraska Omaha,2019,66.3,7.0,29,103.0494748133,114.62470902065,20.490210344828,71.697818128377
3896,Nebraska Omaha,2020,60.4762860215,20.0,31,109.50854587325,110.47210503988,14.297987096774,67.978449502315
3897,Nebraska Omaha,2021,68.6635938667,15.0,31,102.24646264583,107.29061545484,16.419580645161,69.201414187895
3898,Nebraska Omaha,2022,41.7083418531,5.0,25,93.664146169616,106.50376892957,17.044172,71.111900066753
3900,Coastal Carolina,2011,50.9999991992,24.0,31,100.38200860519,98.041305310165,7.5963580645161,64.426137428475
3901,Coastal Carolina,2012,70.76,24.0,30,102.11139340695,100.71564720683,9.0357033333333,66.79237878335
3902,Coastal Carolina,2013,40.4,15.0,27,101.02014084165,103.93438261405,9.3666629629629,64.960210551718
3903,Coastal Carolina,2014,61.7,11.0,26,95.968737135735,101.84053827952,8.9078230769231,65.087379077552
3904,Coastal Carolina,2015,83.52,18.0,31,98.297618219254,102.02395511764,10.992964516129,67.500063574893
3905,Coastal Carolina,2016,71.76,20.0,30,104.6297520124,102.93596529791,11.552156666667,64.073233766759
3906,Coastal Carolina,2017,62.14,18.0,30,100.65522390441,101.51234182571,9.6998466666667,67.517360634331
3907,Coastal Carolina,2018,52.1,18.0,37,100.34591779793,104.92872266787,14.044789189189,69.88963257026
3908,Coastal Carolina,2019,52.62,11.0,29,101.07618275596,105.25424721198,11.03495862069,68.93043118409
3909,Coastal Carolina,2020,53.1187518964,15.0,32,107.46192670903,105.24027177901,14.288634375,69.396350959447
3910,Coastal Carolina,2021,59.2725827718,14.0,31,104.33458797861,106.49500892967,13.475248387097,72.546684634848
3911,Coastal Carolina,2022,55.3318708354,14.0,22,98.818071485932,101.13850908553,6.8529,70.692464746563
3913,Siena,2011,51.4897025898,27.0,34,107.53982607662,95.462114064093,18.233438235294,70.772590038181
3914,Siena,2012,35.86,13.0,31,98.215617244931,102.06520163668,13.872003225806,68.85368158887
3915,Siena,2013,51.76,14.0,31,95.796513608388,101.49626225104,11.244290322581,65.513100352585
3916,Siena,2014,54.64,8.0,32,94.141937593902,106.06956926994,11.86149375,64.135179947965
3917,Siena,2015,88.46,20.0,38,101.26549443195,100.36484092678,14.293776315789,66.392184084819
3918,Siena,2016,62.96,11.0,31,103.85068735426,111.14462349446,9.728664516129,66.673458348585
3919,Siena,2017,72.86,21.0,34,106.721286764,104.02016139576,11.745188235294,71.100423583944
3920,Siena,2018,35.4,17.0,34,105.22450088947,106.04843898513,13.810714705882,69.997506771647
3921,Siena,2019,34.7,8.0,32,96.042002820901,107.81912063047,11.20075,67.306829001988
