teamName,year,prev_3s_recruits,prev_4s_recruits,prev_5s_recruits,curr_3s_recruits,curr_4s_recruits,curr_5s_recruits,seed_points,NIT,R64,R32,S16,E8,F4,F2,CHMP,returningMins%,sos,adjTempo,win ratio,overall efficiency,stars,label
Arkansas Pine Bluff,2014,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.539,0.149080233,0.230947032,0.533333333,-0.794317945,-0.845030615,0
Arkansas Pine Bluff,2015,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.6366,0.151019586,-0.254519719,0.379310345,-1.24211792,-0.845030615,0
Arkansas Pine Bluff,2016,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.4526,0.10787725,-1.084299305,0.375,-1.561784679,-0.845030615,0
Arkansas Pine Bluff,2017,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.5814,0.164974273,-0.536141175,0.242424242,-1.826427799,0.434097483,0
Arkansas Pine Bluff,2018,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.5848,0.0871152,0.455587657,0.2,-2.261502283,-0.845030615,0
Arkansas Pine Bluff,2019,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.649,0.093689429,0.41293927,0.4,-1.466291748,-0.845030615,0
Arkansas Pine Bluff,2020,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.584916986,0.113535194,-0.590124297,0.387096774,-1.372865406,-0.845030615,0
Arkansas Pine Bluff,2021,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.501300779,0.144599069,-0.435077325,0.103448276,-2.024772457,-0.845030615,0
Arkansas St.,2013,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.6948,0.183760818,-1.441139307,0.393939394,-0.286181721,-0.205466566,0
Arkansas St.,2014,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.58,0.097548067,-0.643049276,0.6,0.08591128,1.745203784,0
Arkansas St.,2015,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.1806,0.1210595,0.321684041,0.566666667,0.116597748,-0.205466566,0
Arkansas St.,2016,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.7198,0.120189071,-0.472933143,0.357142857,-1.063811545,-0.845030615,0
Arkansas St.,2017,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.3564,0.147627931,1.820082911,0.310344828,-0.692598258,-0.845030615,0
Arkansas St.,2018,0,0,0,1,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.5962,0.140624032,0.366642478,0.612903226,0.201482036,-0.845030615,0
Arkansas St.,2019,1,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.5336,0.132451667,1.045737665,0.3,-0.810983415,-0.845030615,0
Arkansas St.,2020,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.485302938,0.139975667,0.170160188,0.366666667,-0.537422431,0.849814115,0
Arkansas St.,2021,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.484690821,0.1269592,-0.124445817,0.466666667,-0.545362463,-0.845030615,0
Army,2013,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.731,0.09571469,0.715864184,0.379310345,-1.044473694,-0.845030615,0
Army,2014,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.6046,0.1146989,0.237970036,0.5,0.070755017,-0.845030615,0
Army,2015,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.8392,0.109688067,0.43234101,0.466666667,-0.42086847,-0.845030615,0
Army,2016,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.837,0.09756931,0.745496564,0.482758621,-0.713643349,-0.845030615,0
Army,2017,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.3164,0.079083625,1.832189308,0.5625,-0.544537122,-0.845030615,0
Army,2018,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.7366,0.120526774,1.639007058,0.387096774,-0.592990032,-0.845030615,0
Army,2019,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.8522,0.077930931,1.277692577,0.413793103,-0.770017067,-0.845030615,0
Army,2020,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.593562571,0.108836097,0.682328896,0.387096774,-0.506446287,-0.845030615,0
Army,2021,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.644257697,0.08299031,0.617325893,0.482758621,-0.708932027,-0.845030615,0
Auburn,2013,3,0,0,4,2,0,-0.414574936,1,0,0,0,0,0,0,0,0.5726,0.253665032,-0.664487367,0.483870968,0.324016053,-0.845030615,0
Auburn,2014,4,2,0,6,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.2968,0.226614625,-0.140771696,0.28125,-0.203825642,-0.845030615,0
Auburn,2015,6,0,0,1,2,0,-0.414574936,1,0,0,0,0,0,0,0,0.4368,0.257113567,0.135037544,0.466666667,0.55328514,1.617290974,0
Auburn,2016,1,2,0,2,3,0,-0.414574936,1,0,0,0,0,0,0,0,0.4216,0.291096426,0.13938821,0.411764706,0.307369297,0.210250066,0
Auburn,2017,2,3,0,1,2,1,-0.414574936,1,0,0,0,0,0,0,0,0.4624,0.278701194,1.56872955,0.35483871,-0.16472012,1.713225581,0
Auburn,2018,1,2,1,1,2,0,-0.414574936,1,0,0,0,0,0,0,0,0.477,0.274050938,2.427765998,0.5625,0.823321023,0.114315458,0
Auburn,2019,1,2,0,0,0,0,2.966760497,0,0,1,0,0,0,0,0,0.6546,0.264102735,1.988091231,0.764705882,1.428260709,0.210250066,1
Auburn,2020,0,0,0,4,3,0,2.706657771,0,0,0,0,0,1,0,0,0.369652137,0.359329026,0.101653145,0.743589744,2.14477691,-0.845030615,1
Auburn,2021,4,3,0,3,1,1,2.706657771,0,0,1,0,0,0,0,0,0.215015013,0.237734581,0.551830601,0.806451613,1.256492355,-0.845030615,1
Austin Peay,2013,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.3894,0.180707613,0.421332172,0.35483871,-0.528563333,-0.205466566,0
Austin Peay,2014,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.6202,0.110801483,0.522590419,0.206896552,-1.127790952,-0.845030615,0
Austin Peay,2015,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.56,0.094595107,1.063984648,0.357142857,-0.821856763,-0.845030615,0
Austin Peay,2016,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.526,0.128788464,-0.100593437,0.214285714,-1.182548104,-0.845030615,0
Austin Peay,2017,0,0,0,0,0,0,-0.154472211,0,1,0,0,0,0,0,0,0.5994,0.138776824,0.941939981,0.470588235,-0.46795606,-0.845030615,1
Austin Peay,2018,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.2228,0.127305214,1.19996507,0.321428571,-1.035143518,0.434097483,0
Austin Peay,2019,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.6802,0.148663844,0.838904746,0.53125,-0.085891018,0.6579449,0
Austin Peay,2020,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.243902437,0.13180871,0.44128094,0.64516129,0.39849119,0.434097483,0
Austin Peay,2021,0,0,0,1,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.56945279,0.132218677,0.039173121,0.612903226,0.082429398,1.233552544,0
Ball St.,2013,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.4844,0.109409034,-1.397074611,0.482758621,-0.242473626,-0.845030615,0
